"","Date","Size","AVG(Price)"
"1","2017-05-20",8,240
"2","2017-05-20",8.5,220
"3","2017-05-20",9,212.5
"4","2017-05-20",9.5,215.833333333333
"5","2017-05-20",10,216.25
"6","2017-05-20",10.5,210
"7","2017-05-20",11,210.333333333333
"8","2017-05-20",11.5,216.666666666667
"9","2017-05-20",13,202.5
"10","2017-05-21",9,203.75
"11","2017-05-21",9.5,207.5
"12","2017-05-21",10,204.5
"13","2017-05-21",10.5,195
"14","2017-05-21",12,190
"15","2017-05-21",13,210
"16","2017-05-22",7,220
"17","2017-05-22",7.5,212.5
"18","2017-05-22",8.5,259
"19","2017-05-22",9,219
"20","2017-05-22",9.5,207.5
"21","2017-05-22",10,200
"22","2017-05-22",10.5,207.5
"23","2017-05-22",11,185
"24","2017-05-22",12,267
"25","2017-05-23",8,293
"26","2017-05-23",8.5,231.5
"27","2017-05-23",9,243.5
"28","2017-05-23",10,241.5
"29","2017-05-23",10.5,296
"30","2017-05-23",11,296
"31","2017-05-23",11.5,250
"32","2017-05-23",13,239.333333333333
"33","2017-05-24",5.5,267
"34","2017-05-24",9,187.666666666667
"35","2017-05-24",9.5,213
"36","2017-05-24",10,206
"37","2017-05-24",10.5,209
"38","2017-05-24",11,203.333333333333
"39","2017-05-24",12,185
"40","2017-05-25",7.5,210
"41","2017-05-25",8,185
"42","2017-05-25",8.5,191.5
"43","2017-05-25",9,218.5
"44","2017-05-25",9.5,181
"45","2017-05-25",10,177.5
"46","2017-05-25",10.5,195.166666666667
"47","2017-05-25",11,190
"48","2017-05-25",11.5,175
"49","2017-05-25",12,225
"50","2017-05-26",8,181.5
"51","2017-05-26",8.5,180
"52","2017-05-26",9,206.333333333333
"53","2017-05-26",9.5,226
"54","2017-05-26",10,218.5
"55","2017-05-26",10.5,205.25
"56","2017-05-26",11,233
"57","2017-05-26",11.5,293
"58","2017-05-26",12,173
"59","2017-05-26",13,176
"60","2017-05-27",6.5,214
"61","2017-05-27",8,179
"62","2017-05-27",8.5,206
"63","2017-05-27",9.5,220.4
"64","2017-05-27",10,253.5
"65","2017-05-27",10.5,202.5
"66","2017-05-27",12,218.5
"67","2017-05-27",13,177
"68","2017-05-28",5,267
"69","2017-05-28",9,219
"70","2017-05-28",9.5,267
"71","2017-05-28",10,212.5
"72","2017-05-28",10.5,234
"73","2017-05-28",11,204
"74","2017-05-28",11.5,206.333333333333
"75","2017-05-28",12,179
"76","2017-05-28",13,256.333333333333
"77","2017-05-29",7.5,237
"78","2017-05-29",8,209.333333333333
"79","2017-05-29",8.5,202.5
"80","2017-05-29",9,200
"81","2017-05-29",9.5,185
"82","2017-05-29",10,206
"83","2017-05-29",10.5,189.75
"84","2017-05-29",11,229
"85","2017-05-29",12,204.5
"86","2017-05-30",6.5,271
"87","2017-05-30",7.5,222.5
"88","2017-05-30",8,206
"89","2017-05-30",8.5,210.25
"90","2017-05-30",9,187.222222222222
"91","2017-05-30",9.5,210
"92","2017-05-30",10,194.5
"93","2017-05-30",10.5,277
"94","2017-05-30",11,178
"95","2017-05-30",11.5,168.333333333333
"96","2017-05-30",12,185
"97","2017-05-31",4.5,275
"98","2017-05-31",8.5,170
"99","2017-05-31",9.5,171.666666666667
"100","2017-05-31",10,170
"101","2017-05-31",10.5,176.5
"102","2017-05-31",11,250
"103","2017-05-31",11.5,250
"104","2017-05-31",12,252
"105","2017-05-31",13,250
"106","2017-06-01",8,211.75
"107","2017-06-01",8.5,166
"108","2017-06-01",9,181.25
"109","2017-06-01",9.5,201.333333333333
"110","2017-06-01",10,250
"111","2017-06-01",10.5,168.666666666667
"112","2017-06-01",11,230.25
"113","2017-06-01",11.5,205
"114","2017-06-02",6.5,170
"115","2017-06-02",8,216
"116","2017-06-02",8.5,162.5
"117","2017-06-02",9,163.125
"118","2017-06-02",9.5,160.5
"119","2017-06-02",10,177.4
"120","2017-06-02",10.5,163.75
"121","2017-06-02",11,160
"122","2017-06-02",12,160
"123","2017-06-02",13,160
"124","2017-06-03",6,275
"125","2017-06-03",6.5,275
"126","2017-06-03",7,235
"127","2017-06-03",8,176.25
"128","2017-06-03",8.5,162.5
"129","2017-06-03",9,161.666666666667
"130","2017-06-03",9.5,176.5
"131","2017-06-03",10,162.5
"132","2017-06-03",11.5,209.5
"133","2017-06-03",12,236.666666666667
"134","2017-06-03",13,198
"135","2017-06-04",7,275
"136","2017-06-04",7.5,209.5
"137","2017-06-04",8,209
"138","2017-06-04",8.5,217.833333333333
"139","2017-06-04",9,225
"140","2017-06-04",9.5,158.666666666667
"141","2017-06-04",10,175.2
"142","2017-06-04",10.5,162
"143","2017-06-04",11,194
"144","2017-06-04",11.5,183.75
"145","2017-06-04",12.5,150
"146","2017-06-04",13,151
"147","2017-06-05",7,267
"148","2017-06-05",7.5,165.5
"149","2017-06-05",8,160
"150","2017-06-05",8.5,160
"151","2017-06-05",9,207
"152","2017-06-05",9.5,176.8
"153","2017-06-05",10,177
"154","2017-06-05",10.5,165
"155","2017-06-05",11,225
"156","2017-06-05",11.5,165
"157","2017-06-05",12,160
"158","2017-06-05",13,157.5
"159","2017-06-06",6,220
"160","2017-06-06",7.5,160
"161","2017-06-06",8,160
"162","2017-06-06",8.5,160
"163","2017-06-06",9,160
"164","2017-06-06",9.5,175
"165","2017-06-06",10,160
"166","2017-06-06",10.5,171.333333333333
"167","2017-06-06",11,179
"168","2017-06-07",9,160
"169","2017-06-07",9.5,157.333333333333
"170","2017-06-07",10,192.333333333333
"171","2017-06-07",10.5,161.5
"172","2017-06-07",11.5,208.5
"173","2017-06-07",12,165.5
"174","2017-06-08",6,275
"175","2017-06-08",8.5,180.75
"176","2017-06-08",9,159.5
"177","2017-06-08",9.5,162
"178","2017-06-08",10,157.5
"179","2017-06-08",10.5,180
"180","2017-06-08",11,213.5
"181","2017-06-08",11.5,160
"182","2017-06-09",5.5,275
"183","2017-06-09",7,275
"184","2017-06-09",8,153.5
"185","2017-06-09",8.5,247
"186","2017-06-09",9,152.75
"187","2017-06-09",10,150
"188","2017-06-09",10.5,170
"189","2017-06-09",11,160.5
"190","2017-06-09",11.5,160
"191","2017-06-09",12,160
"192","2017-06-09",13,160
"193","2017-06-10",6.5,262.5
"194","2017-06-10",7.5,160
"195","2017-06-10",8,187.5
"196","2017-06-10",8.5,150
"197","2017-06-10",9,150
"198","2017-06-10",9.5,155.625
"199","2017-06-10",10,150
"200","2017-06-10",10.5,170
"201","2017-06-10",11.5,200
"202","2017-06-10",12,153.333333333333
"203","2017-06-11",5,250
"204","2017-06-11",5.5,169
"205","2017-06-11",6.5,226
"206","2017-06-11",7,275
"207","2017-06-11",7.5,138
"208","2017-06-11",8,174.25
"209","2017-06-11",8.5,242
"210","2017-06-11",9,190.666666666667
"211","2017-06-11",9.5,153.333333333333
"212","2017-06-11",10.5,242
"213","2017-06-11",11,170
"214","2017-06-11",13,228.125
"215","2017-06-12",4.5,200
"216","2017-06-12",6,267
"217","2017-06-12",7,200
"218","2017-06-12",7.5,200
"219","2017-06-12",8,218.5
"220","2017-06-12",8.5,187.5
"221","2017-06-12",9,183
"222","2017-06-12",9.5,183.75
"223","2017-06-12",10,175
"224","2017-06-12",10.5,196.8
"225","2017-06-12",11,223.333333333333
"226","2017-06-12",11.5,174.8
"227","2017-06-12",12,187.5
"228","2017-06-12",12.5,200
"229","2017-06-12",13,200
"230","2017-06-13",5.5,200
"231","2017-06-13",6.5,200
"232","2017-06-13",7.5,155
"233","2017-06-13",8,175
"234","2017-06-13",8.5,160
"235","2017-06-13",9,187.5
"236","2017-06-13",9.5,177.444444444444
"237","2017-06-13",10,161.5
"238","2017-06-13",10.5,231
"239","2017-06-13",11.5,171.833333333333
"240","2017-06-13",12,183.333333333333
"241","2017-06-14",4,200
"242","2017-06-14",4.5,246.5
"243","2017-06-14",5.5,200
"244","2017-06-14",6.5,167
"245","2017-06-14",8,166.666666666667
"246","2017-06-14",8.5,200
"247","2017-06-14",9,166.666666666667
"248","2017-06-14",9.5,179.4
"249","2017-06-14",10,190
"250","2017-06-14",10.5,181
"251","2017-06-14",11.5,185
"252","2017-06-14",12,157.5
"253","2017-06-14",13,195.333333333333
"254","2017-06-15",4.5,200
"255","2017-06-15",6.5,200
"256","2017-06-15",7.5,200
"257","2017-06-15",8,150
"258","2017-06-15",8.5,150
"259","2017-06-15",9,186.5
"260","2017-06-15",9.5,198.666666666667
"261","2017-06-15",10,175
"262","2017-06-15",11,175
"263","2017-06-15",11.5,200
"264","2017-06-15",12,199.333333333333
"265","2017-06-15",12.5,175
"266","2017-06-15",13,186.333333333333
"267","2017-06-16",4.5,225
"268","2017-06-16",5,209
"269","2017-06-16",6,200
"270","2017-06-16",7,196.333333333333
"271","2017-06-16",7.5,179.25
"272","2017-06-16",8.5,174.166666666667
"273","2017-06-16",9,161.5
"274","2017-06-16",9.5,173.5
"275","2017-06-16",10,190.222222222222
"276","2017-06-16",10.5,183.333333333333
"277","2017-06-16",11,190.4
"278","2017-06-16",11.5,183.333333333333
"279","2017-06-16",12,200
"280","2017-06-16",12.5,175
"281","2017-06-16",13,180
"282","2017-06-17",6.5,275
"283","2017-06-17",7,200
"284","2017-06-17",7.5,214
"285","2017-06-17",8,175
"286","2017-06-17",8.5,184
"287","2017-06-17",9,173.75
"288","2017-06-17",9.5,212
"289","2017-06-17",10,226
"290","2017-06-17",11,186.5
"291","2017-06-17",12,162
"292","2017-06-18",6,200
"293","2017-06-18",7.5,228.5
"294","2017-06-18",8,175
"295","2017-06-18",8.5,242
"296","2017-06-18",9,200.166666666667
"297","2017-06-18",9.5,199.2
"298","2017-06-18",10,174
"299","2017-06-18",10.5,140
"300","2017-06-18",11,138
"301","2017-06-18",11.5,204
"302","2017-06-18",12.5,175
"303","2017-06-18",13,200
"304","2017-06-19",4.5,200
"305","2017-06-19",5,275
"306","2017-06-19",6.5,200
"307","2017-06-19",7,218
"308","2017-06-19",7.5,142
"309","2017-06-19",8,158
"310","2017-06-19",8.5,150
"311","2017-06-19",9,200.4
"312","2017-06-19",9.5,145.75
"313","2017-06-19",10,149.5
"314","2017-06-19",10.5,157.833333333333
"315","2017-06-19",11,186.666666666667
"316","2017-06-19",12,142
"317","2017-06-19",13,200
"318","2017-06-20",5,150
"319","2017-06-20",6,237.5
"320","2017-06-20",7,200
"321","2017-06-20",7.5,228.5
"322","2017-06-20",8.5,190
"323","2017-06-20",9,146
"324","2017-06-20",9.5,180.4
"325","2017-06-20",10,169.8
"326","2017-06-20",10.5,204.666666666667
"327","2017-06-20",11,231
"328","2017-06-20",11.5,182.5
"329","2017-06-20",12,175
"330","2017-06-21",5,140
"331","2017-06-21",7,170
"332","2017-06-21",7.5,150
"333","2017-06-21",8,196
"334","2017-06-21",8.5,188
"335","2017-06-21",9,175
"336","2017-06-21",9.5,242
"337","2017-06-21",10,212
"338","2017-06-21",10.5,203.5
"339","2017-06-21",11,167.5
"340","2017-06-21",11.5,160
"341","2017-06-21",12,150
"342","2017-06-21",13,159
"343","2017-06-22",5.5,275
"344","2017-06-22",7.5,168
"345","2017-06-22",8,200
"346","2017-06-22",8.5,225
"347","2017-06-22",9,181.25
"348","2017-06-22",9.5,213.5
"349","2017-06-22",10,156.333333333333
"350","2017-06-22",10.5,200
"351","2017-06-22",11,143
"352","2017-06-22",11.5,164
"353","2017-06-22",12,155.333333333333
"354","2017-06-22",12.5,208.5
"355","2017-06-22",13,200
"356","2017-06-23",6.5,152
"357","2017-06-23",8,175
"358","2017-06-23",8.5,197
"359","2017-06-23",9,165
"360","2017-06-23",9.5,161.666666666667
"361","2017-06-23",10.5,208.5
"362","2017-06-23",11,161.666666666667
"363","2017-06-23",11.5,140
"364","2017-06-24",6,200
"365","2017-06-24",8,175
"366","2017-06-24",8.5,175
"367","2017-06-24",9.5,164.4
"368","2017-06-24",10,175
"369","2017-06-24",10.5,193.5
"370","2017-06-24",11,165
"371","2017-06-24",11.5,160
"372","2017-06-24",12,157.5
"373","2017-06-24",12.5,140
"374","2017-06-25",4.5,225
"375","2017-06-25",5.5,200
"376","2017-06-25",6,200
"377","2017-06-25",6.5,200
"378","2017-06-25",7,200
"379","2017-06-25",7.5,155
"380","2017-06-25",8,175
"381","2017-06-25",8.5,172.75
"382","2017-06-25",9,175
"383","2017-06-25",9.5,166.5
"384","2017-06-25",10,183.25
"385","2017-06-25",10.5,191
"386","2017-06-25",11,192
"387","2017-06-25",12.5,200
"388","2017-06-25",13,167.5
"389","2017-06-26",6,277
"390","2017-06-26",6.5,262
"391","2017-06-26",7.5,216
"392","2017-06-26",8.5,200
"393","2017-06-26",9,168
"394","2017-06-26",9.5,200
"395","2017-06-26",10,155
"396","2017-06-26",10.5,175
"397","2017-06-26",11,200
"398","2017-06-26",12.5,154.5
"399","2017-06-26",13,200
"400","2017-06-27",4.5,210
"401","2017-06-27",5,170
"402","2017-06-27",7,200
"403","2017-06-27",7.5,225
"404","2017-06-27",8,150
"405","2017-06-27",8.5,195.75
"406","2017-06-27",9,180.333333333333
"407","2017-06-27",9.5,175.2
"408","2017-06-27",10,195.75
"409","2017-06-27",10.5,175
"410","2017-06-27",11.5,164
"411","2017-06-27",13,200
"412","2017-06-28",5,221
"413","2017-06-28",6,200
"414","2017-06-28",6.5,200
"415","2017-06-28",7,170
